Adjectives,Nouns,Nouns_Plural,Gerund_Verbs,Verbs,Prepositions,Articles,Human_Names,adverb_place,adverb,creature_noun,situation_phrase
Cosmic,Overdrive,Vipers,Bleeding,Bleed,Of,A,Johnny,Asea,Loudly,Yeti,On a Budget
Rusty,Thunder,Wombats,Screaming,Scream,In,An,Roxie,Ashore,Violently,Sasquatch,With a Grievance
Velvet,Hell,Androids,Haunting,Haunt,To,The,Lemmy,Adrift,Accidentally,Werewolf,On Sabbatical
Sonic,Empire,Phantoms,Blasting,Blast,For,Some,Ziggy,Aloft,Quietly,Goblin,After an Audit
Electric,Hazard,Lizards,Shivering,Shiver,With,Any,Ozzy,Awash,Heavily,Troll,With a Bone to Pick
Radioactive,Reactor,Mutants,Raging,Rage,On,,Joey,Astern,Sweetly,Gremlin,In a Crisis
Blurred,Echo,Jerkoffs,Shredding,Shred,At,,James,Abroad,Bitterly,Banshee,Against All Odds
Forgetful,Venom,Jackals,Crashing,Crash,From,,Mary,Alone,Wildly,Ogre,On the Lam
Froggy,Phantom,Wolves,Burning,Burn,By,,John,Afar,Fiercely,Cyclops,At the End of Their Rope
Shy,Wraith,Foxes,Striking,Strike,About,,Patricia,Asunder,Ruthlessly,Kraken,In Over Their Head
Long-Range,Inferno,Bears,Smashing,Smash,As,,Robert,Away,Blindy,Basilisk,With a Vendetta
Milquetoast,Tempest,Eagles,Melting,Melt,Into,,Jennifer,Ahead,Cosmically,Wendigo,On Deadline
Crazy,Rampage,Sharks,Jerking,Jerk,Through,,Michael,Above,Digitally,Minotaur,During a Commute
Dying,Oblivion,Dolphins,Jacking,Jack,During,,Linda,Below,Anarchically,Specter,With an Agenda
Educated,Specter,Gorillas,Whacking,Whack,Before,,William,Within,Savagely,Gargoyle,In Denial
Fantastic,Havoc,Cheetahs,Chopping,Chop,After,,Barbara,Without,Grimly,Djinn,On Trial
Greater-Than,Renegade,Cobras,Jumping,Jump,Above,,David,Nearby,Radically,Wraith,With a Manifesto
Hollow,Vortex,Falcons,Slapping,Slap,Below,,Susan,Underground,Rapidly,Hydra,Against the Machine
Ill,Carnage,Bisons,Mowing,Mow,Between,,Richard,Upstairs,Slowly,Chimera,In Therapy
Jerkoff,Exodus,Lynxes,Chowing,Chow,Under,,Jessica,Downside,Endlessly,Manticore,On a Mission
